sso_id,export_countries,export_commodity_codes
213418,"[{'region': 'Europe', 'country_name': 'Italy', 'country_iso2_code': 'IT'}]","[{'commodity_code': '060220', 'commodity_name': 'Tree'}]"
213418,"[{'region': 'Asia Pacific', 'country_name': 'Singapore', 'country_iso2_code': 'SG'}]","[{'commodity_code': '420229', 'commodity_name': 'Handbags, shopping bags, travelling-bags, and similar articles'}]"
213418,"[{'region': 'Europe', 'country_name': 'France', 'country_iso2_code': 'FR'}]","[{'commodity_code': '610520', 'commodity_name': 'Shirt'}]"
213418,"[{'region': 'Europe', 'country_name': 'Belgium', 'country_iso2_code': 'BE'}]","[{'commodity_code': '090111', 'commodity_name': 'Coffee'}]"
213697,"[{'region': 'Europe', 'country_name': 'Sweden', 'country_iso2_code': 'SE'}]","[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
213697,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
213697,"[{'region': 'Africa', 'country_name': 'Algeria', 'country_iso2_code': 'DZ'}]","[{'commodity_code': '210111', 'commodity_name': 'tea'}]"
215724,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '090122', 'commodity_name': 'Coffee bean'}]"
213418,"[{'region': 'Africa', 'country_name': 'Algeria', 'country_iso2_code': 'DZ'}]","[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
108350,"[{'region': 'Middle East, Afghanistan and Pakistan', 'country_name': 'Saudi Arabia', 'country_iso2_code': 'SA'}]","[{'commodity_code': '930629', 'commodity_name': 'Bullet'}]"
215725,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '081010', 'commodity_name': 'Strawberry'}]"
213697,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '940152', 'commodity_name': 'Chair'}]"
206989,"[{'region': 'Europe', 'country_name': 'France', 'country_iso2_code': 'FR'}]","[{'commodity_code': '040630', 'commodity_name': 'Cheese'}]"
206989,"[{'region': 'China and Hong Kong', 'country_name': 'China', 'country_iso2_code': 'CN'}]","[{'commodity_code': '040510', 'commodity_name': 'Butter'}]"
215734,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '220300', 'commodity_name': 'Alcoholic beer'}]"
206989,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
215761,"[{'region': 'Asia Pacific', 'country_name': 'Japan', 'country_iso2_code': 'JP'}]","[{'commodity_code': '020329', 'commodity_name': 'Bacon'}]"
215621,"[{'region': 'Europe', 'country_name': 'Netherlands', 'country_iso2_code': 'NL'}]","[{'commodity_code': '300290', 'commodity_name': 'Lactic acid bacteria'}]"
213503,"[{'region': 'Africa', 'country_name': 'Algeria', 'country_iso2_code': 'DZ'}]","[{'commodity_code': '610332', 'commodity_name': 'Garment likely to be of textile composition'}]"
213888,"[{'region': 'Europe', 'country_name': 'Netherlands', 'country_iso2_code': 'NL'}]","[{'commodity_code': '081010', 'commodity_name': 'Strawberry'}]"
211850,"[{'region': 'Europe', 'country_name': 'Belgium', 'country_iso2_code': 'BE'}]","[{'commodity_code': '200520', 'commodity_name': 'Potato chip'}]"
215651,"[{'region': 'Europe', 'country_name': 'France', 'country_iso2_code': 'FR'}]","[{'commodity_code': '871160', 'commodity_name': 'E-Bike Rad 6000'}]"
199367,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '220850', 'commodity_name': 'Water'}]"
215700,"[{'region': 'Europe', 'country_name': 'Belgium', 'country_iso2_code': 'BE'}]","[{'commodity_code': '081190', 'commodity_name': 'Apple'}]"
215599,"[{'region': 'Europe', 'country_name': 'Italy', 'country_iso2_code': 'IT'}]","[{'commodity_code': '080430', 'commodity_name': 'Pineapple'}]"
213697,"[{'region': 'Europe', 'country_name': 'Italy', 'country_iso2_code': 'IT'}]","[{'commodity_code': '090111', 'commodity_name': 'Coffee'}]"
213697,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '940152', 'commodity_name': 'Chair'}]"
215621,"[{'region': 'Europe', 'country_name': 'Netherlands', 'country_iso2_code': 'NL'}]","[{'commodity_code': '021020', 'commodity_name': 'Beef'}]"
203675,"[{'region': 'Europe', 'country_name': 'Italy', 'country_iso2_code': 'IT'}]","[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
215599,"[{'region': 'North America', 'country_name': 'United States', 'country_iso2_code': 'US'}]","[{'commodity_code': '440711', 'commodity_name': 'Wood'}]"
